id,image_id,name
1,1,armchair
2,1,table
3,1,lamp
4,1,door
5,1,mirror
6,1,carpet
7,1,photo frame
8,2,telephone
9,2,remote control
10,2,lamp
11,2,receipt
12,2,instruction sign
13,3,monitor
14,3,laptop
15,3,printer
16,3,laptop
17,4,chair
18,4,laptop
19,4,lamp
20,4,monitor
21,4,telephone
22,5,mountain
23,5,emergency phone
24,5,sidewalk
25,5,car
26,6,man
27,6,man
28,6,man
29,6,man
30,6,poster
31,6,car
32,6,TV display
33,7,shed
34,7,stairs
35,7,shrub
36,8,car
37,8,windmill
38,8,shrub
39,8,house
40,8,trash bin
41,9,instruction manual
42,9,stapler
43,9,mouse
44,9,paper
45,10,man
46,10,laptop
47,10,air conditioner
